...1,channel,member_count,broadcast,id,timestamp,content,user_id,first_and_last_name,username,views,edit-date,replyToId,forward,forward_id,forward_msg_id,forward_date,URLs,media,hasComments,isComment,bot_url,parent,isDeleted
1821,@FairdenkenVorarlberg,NA,FALSE,5420,2022-10-31T18:27:40Z,"Livechat Montag 31. Oktober 2022 20 Uhr 
mit **Hannes Brejcha**😉
👉[ Hier](https://t.me/Fairdenkenoriginal) 👈",1321533955,NA,NA,7575,NA,NA,Fairdenkenoriginal,1576300107,1928,2022-10-30T18:59:32Z,https://t.me/Fairdenkenoriginal),MessageMediaPhoto,FALSE,FALSE,NA,NA,NA
19908,@EvaHermanOffiziell,NA,FALSE,108269,2022-09-22T12:29:34Z,"""Die Energiekrise trifft Privathaushalte mit voller Wucht: Die Gas- und Strompreise haben mittlerweile ein Rekordniveau erreicht. Ab 2023 müssen sich Verbraucherinnen und Verbraucher sogar auf eine Verdreifachung der Abschläge einstellen. Noch dazu beginnt bald die Heizsaison und viele Menschen stehen vor der Frage: Wie kann ich Energie einsparen?

Business Insider hat mit zehn jungen Menschen darüber gesprochen, wie es ihnen in der Krise geht und wie sie Energie sparen. In den Gesprächen haben wir erfahren, dass sich die Verzweiflung bisher noch in Grenzen zu halten scheint – vielmehr versuchen sie, kreative Lösungen zu finden.""

https://www.businessinsider.de/politik/deutschland/ich-will-mir-jetzt-einen-blumentopf-ofen-bauen-zehn-junge-menschen-geben-tipps-zum-energiesparen/",-1001325174315,NA,NA,31393,NA,NA,NA,NA,NA,NA,https://www.businessinsider.de/politik/deutschland/ich-will-mir-jetzt-einen-blumentopf-ofen-bauen-zehn-junge-menschen-geben-tipps-zum-energiesparen/,MessageMediaWebPage,FALSE,FALSE,NA,NA,NA
57181,@oliverjanich,NA,FALSE,56580,2021-03-18T10:14:18Z,"❗️**Bischöfe warnen: Impfstoff mit „Zelllinien, die aus Abtreibungen stammen“

**Ende letzter Woche wurde mit dem Vektor-Impfstoff von Johnson & Johnson das vierte Corona-Vakzin in der EU zugelassen. Die Genehmigung in den USA erfolgte bereits einige Wochen zuvor – und rief dort auch die katholische Kirche auf den Plan. Die Erzdiözese von New Orleans erklärte entsprechende Impfungen für „moralisch kompromittiert“ und verwies dabei auf die „umfangreiche Verwendung von Zelllinien, die aus Abtreibungen stammen“.

https://www.compact-online.de/bischoefe-warnen-impfstoff-mit-zelllinien-die-aus-abtreibungen-stammen/",-1001218998207,NA,NA,35588,NA,NA,CompactMagazin,1177424903,6562,2021-03-17T09:21:47Z,https://www.compact-online.de/bischoefe-warnen-impfstoff-mit-zelllinien-die-aus-abtreibungen-stammen/,MessageMediaWebPage,FALSE,FALSE,NA,NA,NA
29415,@Kampf_fuer_unsere_Zukunft,NA,FALSE,1058,2021-05-16T09:32:09Z,"💥💥💥 Endlich wird die ganze Covid-19-Geschichte zur Akte für den Staatsanwalt. Verantwortungsbewusst sind »Anwälte für Aufklärung« dazu übergegangen, mit zeitgemäßeren, gleichsam härteren Bandagen zu kämpfen. Im Verbund mit dem geplagten Volk packen sie den berühmten Stier jetzt direkt bei den Hörnern. Vorgängig entlarvten sie den PCR-Test als einzig großen Grundlagen-Irrtum (= Betrug). Und dies zusammen mit wirklich »Pharma-Lobby-unabhängigen Koryphäen« aus allen nötigen Hintergründen: hochgradige Virologen, Epidemiologen, Mikrobiologen, Ärzten usw.+

✓ www.kla.tv/18358

--------------------------------------------------

➡️➡️➡️ https://t.me/Kampf_fuer_unsere_Zukunft/1058

-------------------------------------------------",-1001427459854,NA,NA,392,2021-05-16T09:32:18Z,NA,NA,NA,NA,NA,"www.kla.tv/18358, https://t.me/Kampf_fuer_unsere_Zukunft/1058",MessageMediaDocument,FALSE,FALSE,NA,NA,NA
19183,@bleibtstark,NA,FALSE,16208,2020-12-04T18:03:15Z,"https://impfen-nein-danke.de/spanische-grippe


Herzlichen Dank für diese Zusendung 😉

@BlutgruppeQ",-1001279348750,NA,NA,4317,NA,NA,NA,NA,NA,NA,https://impfen-nein-danke.de/spanische-grippe,MessageMediaWebPage,FALSE,FALSE,NA,NA,NA
15726,@fragunsdochDasOriginal,NA,FALSE,9079,2021-07-17T06:26:15Z,https://youtu.be/SQYttHbELbE,-1001295549179,NA,NA,54823,NA,NA,NA,NA,NA,NA,https://youtu.be/SQYttHbELbE,MessageMediaWebPage,FALSE,FALSE,NA,NA,NA
5204,@Qanalwwg1wga,NA,FALSE,58340,2022-12-17T18:08:55Z,"Mike Lindell ist zurück auf Twitter 🍿🔥
👇🏽
https://twitter.com/realMikeLindell/status/1603846182455083009?t=TB4oUdbWHj6hzRHB9cB1Yg&s=19 

https://t.me/danijelsheran",-1001462426423,NA,NA,2070,2022-12-17T18:16:03Z,NA,danijelsheran,1155817917,34588,2022-12-16T20:47:16Z,"https://twitter.com/realMikeLindell/status/1603846182455083009?t=TB4oUdbWHj6hzRHB9cB1Yg&s=19, https://t.me/danijelsheran",MessageMediaPhoto,FALSE,FALSE,NA,NA,NA
2962,@Anwaelte_fuer_Aufklaerung,NA,FALSE,1624,2021-08-09T10:24:06Z,"Trotz steigender Inzidenzzahlen, zum Ende des Sommers hin, werden die Dänen ab Oktober ihre Freiheiten zurückerhalten. In Deutschland wird derweil der Druck auf die nicht geimpften Bürger erhöht.

https://www.epochtimes.de/politik/ausland/daenemark-buerger-erhalten-ab-oktober-ihre-freiheiten-zurueck-a3572658.html?telegram=1

https://t.me/epochtimesde",-1001216785261,NA,NA,17427,NA,NA,epochtimesde,1359520990,24278,2021-08-09T10:20:00Z,"https://www.epochtimes.de/politik/ausland/daenemark-buerger-erhalten-ab-oktober-ihre-freiheiten-zurueck-a3572658.html?telegram=1, https://t.me/epochtimesde, https://www.epochtimes.de/politik/ausland/daenemark-buerger-erhalten-ab-oktober-ihre-freiheiten-zurueck-a3572658.htm",MessageMediaWebPage,FALSE,FALSE,NA,NA,NA
80119,@oliverjanich,NA,FALSE,32625,2020-08-10T18:48:38Z,https://youtu.be/lTntb1rXZNg,-1001218998207,NA,NA,31045,NA,NA,SchrangTV,1267554567,3442,2020-08-10T17:23:05Z,https://youtu.be/lTntb1rXZNg,MessageMediaWebPage,FALSE,FALSE,NA,NA,NA
1795,@rabbitresearch,NA,FALSE,9050,2022-09-29T10:13:06Z,"🎧**Coolio kollabiert und stirbt mit 59 Jahren**
__plötzlich und unerwartet__

Der US-Rapper Coolio, bekannt durch seinen Hit „Gangsta’s Paradise“, setzt den mysteriösen Trend vom urplötzlichen Ableben ohne ersichtlichen Grund fort. Es geschah bei einem Freund zu Hause in L.A. - Ermittler konnten keine Suchtmittel im Haus finden.
Vor 5 Tagen teilte Coolio auf seinem Instagram-Account noch ein Video von seinem letzten Konzert, wo er absolut fit wirkte.
Dieser Post sollte auch sein letzter sein - dort kondolieren nun seine Fans und trauern.

👉[Erst gestern wurde die FB-Gruppe „Died Suddenly News“](https://t.me/rabbitresearch/9032), die sich mit genau diesem Phänomen, des plötzlichen Versterbens beschäftigt, von der Plattfoprm gelöscht. Die deutsche FB-Gruppe ist noch online: [Plötzlich und unerwartet](https://www.facebook.com/groups/420764533375426)

**Folge Rabbit Research** 🐇🔍
👉**auf **[**telegram](http://t.me/rabbitresearch)** 👉**auf **[**substack](https://rabbitresearch.substack.com/)** 👉**auf** [**youtbe](https://www.youtube.com/c/RabbitResearch/videos)** 👉**auf** [**odyssee](https://odysee.com/@rabbitresearch:3)**",-1001411594255,NA,NA,134562,NA,NA,NA,NA,NA,NA,"https://t.me/rabbitresearch/9032),, https://www.facebook.com/groups/420764533375426), http://t.me/rabbitresearch)**, https://rabbitresearch.substack.com/)**, https://www.youtube.com/c/RabbitResearch/videos)**, https://odysee.com/@rabbitresearch:3)**",MessageMediaPhoto,FALSE,FALSE,NA,NA,NA
